               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.038865,            0.010956,                   0,             0.86113,             0.73215,             0.81142,             0.34744,            0.033576,           0.0081943,                   0,            0.007492,            0.007492,            0.007492
                  40,              0.0392,            0.010968,                   0,             0.84706,             0.79981,             0.86084,             0.42027,            0.030588,           0.0078264,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.039511,            0.011083,                   0,             0.88788,             0.77942,             0.86371,             0.42742,            0.030598,           0.0078292,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.038838,            0.010941,                   0,             0.88398,             0.79915,             0.87604,             0.41153,            0.031061,           0.0076596,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.038361,            0.010676,                   0,             0.84754,              0.7624,             0.83523,              0.3558,            0.033167,           0.0080973,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.038598,            0.010685,                   0,             0.83879,              0.7472,             0.80883,             0.32698,            0.034626,           0.0080908,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.038525,            0.010856,                   0,             0.89237,             0.81162,              0.8799,             0.41553,            0.030518,           0.0079617,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.037708,            0.010505,                   0,             0.88734,             0.83179,             0.90126,             0.45169,            0.028702,           0.0073114,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.036485,            0.010334,                   0,             0.90029,             0.80492,             0.89375,             0.43498,            0.029685,           0.0074626,                   0,            0.006964,            0.006964,            0.006964
                  48,             0.03678,            0.010208,                   0,             0.89995,             0.84066,             0.90722,             0.47616,             0.02777,           0.0071441,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.036833,            0.010158,                   0,             0.88774,             0.81646,             0.88932,             0.38651,            0.031868,           0.0075849,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.037803,            0.010247,                   0,             0.90168,             0.83179,             0.90706,             0.45356,            0.028965,           0.0072714,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.037497,            0.010487,                   0,             0.91099,             0.82159,             0.89881,             0.44585,             0.02901,           0.0073789,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.036628,            0.010068,                   0,             0.91523,             0.81879,              0.9041,              0.4604,            0.028419,           0.0072508,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.035888,           0.0099043,                   0,             0.88746,             0.79844,             0.87571,              0.4059,            0.030627,           0.0076878,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.036722,           0.0099764,                   0,             0.89991,             0.86446,             0.91677,             0.47175,            0.027333,           0.0070495,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.035947,            0.010055,                   0,             0.89099,              0.8447,             0.90677,             0.44936,            0.028911,           0.0072396,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.036109,           0.0099446,                   0,             0.90069,             0.83461,             0.91071,              0.4681,            0.028268,           0.0071128,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.035645,           0.0098096,                   0,             0.90055,              0.8572,             0.91301,             0.44227,            0.029332,           0.0071465,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.035942,           0.0098686,                   0,             0.90938,             0.83789,              0.9125,             0.45345,             0.02832,           0.0070558,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.036252,           0.0099222,                   0,             0.89958,             0.85283,             0.91491,             0.45914,            0.028165,           0.0070243,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.034801,           0.0098278,                   0,             0.91798,             0.86234,             0.92615,             0.47315,            0.027663,           0.0069877,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.034888,           0.0096809,                   0,             0.90829,             0.85891,             0.92268,              0.4702,            0.027779,           0.0069685,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.034973,           0.0094641,                   0,             0.92315,             0.86257,             0.92414,             0.48604,            0.026943,           0.0069143,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.034535,           0.0095083,                   0,             0.91914,             0.85291,             0.92012,             0.46405,            0.027752,           0.0069934,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.034669,           0.0094823,                   0,             0.92739,             0.86123,             0.92866,             0.46691,            0.028311,           0.0069131,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.034418,           0.0095136,                   0,             0.91359,             0.86083,             0.91763,             0.42656,            0.029795,           0.0071216,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.03417,           0.0094436,                   0,             0.91967,             0.88624,             0.93671,             0.48017,            0.027528,           0.0067313,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.034728,           0.0093638,                   0,             0.93074,             0.88359,             0.94007,             0.49692,             0.02671,           0.0066789,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.034999,           0.0093311,                   0,             0.91061,             0.87533,              0.9293,             0.46915,            0.027932,           0.0068236,                   0,            0.005578,            0.005578,            0.005578
                  69,             0.03397,           0.0094016,                   0,             0.92322,             0.85801,             0.93016,             0.46459,             0.02832,           0.0068758,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.033569,           0.0091276,                   0,             0.93084,             0.89512,             0.94798,             0.51677,            0.025446,           0.0065034,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.033676,           0.0090931,                   0,             0.90918,             0.89645,              0.9374,             0.48272,            0.027296,           0.0067465,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.032057,           0.0090592,                   0,              0.9309,             0.89351,             0.94505,             0.49015,            0.026607,           0.0065594,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.032284,           0.0092127,                   0,             0.91879,             0.89912,             0.94502,             0.50425,            0.026403,            0.006533,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.033045,           0.0090622,                   0,              0.9257,             0.90467,             0.95019,             0.51277,            0.025854,           0.0065336,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.032842,           0.0088943,                   0,             0.91896,             0.88947,             0.94494,             0.47009,             0.02821,           0.0066722,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.032316,           0.0089484,                   0,             0.93363,             0.89664,             0.94797,             0.49742,            0.026482,            0.006535,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.032465,           0.0086244,                   0,             0.92223,             0.89927,             0.94933,             0.48334,            0.027067,           0.0065437,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.032283,           0.0089002,                   0,             0.93561,             0.90273,             0.95343,             0.51798,            0.025597,            0.006342,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.03235,           0.0086329,                   0,              0.9265,             0.90359,             0.95021,             0.50473,             0.02634,           0.0064036,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.032069,           0.0088808,                   0,             0.93218,             0.91367,             0.95372,             0.50428,            0.026449,            0.006439,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.03214,           0.0089071,                   0,             0.93592,             0.91322,             0.95876,             0.52607,            0.025314,           0.0063268,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.032218,           0.0085252,                   0,             0.93075,              0.9044,             0.94972,             0.50632,            0.026449,           0.0064112,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.031763,           0.0087309,                   0,             0.93626,              0.9161,             0.95703,             0.51828,            0.025909,           0.0063291,                   0,            0.004588,            0.004588,            0.004588
                  84,             0.03161,           0.0088074,                   0,             0.93218,             0.91484,             0.95379,             0.51774,            0.025569,           0.0063699,                   0,            0.004522,            0.004522,            0.004522
                  85,             0.03127,            0.008674,                   0,             0.93601,             0.92013,             0.95715,             0.52933,            0.024836,           0.0062418,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.030922,           0.0088019,                   0,             0.93542,             0.90559,             0.95476,             0.51425,            0.026187,           0.0063283,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.031344,           0.0085758,                   0,             0.93331,             0.92012,             0.95872,              0.5359,            0.024353,           0.0062242,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.030938,           0.0085074,                   0,             0.93829,             0.90399,             0.95429,             0.52563,             0.02524,           0.0062734,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.030716,           0.0082389,                   0,             0.93696,             0.91732,             0.95767,             0.53185,            0.025046,           0.0062123,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.031263,           0.0085201,                   0,             0.94366,             0.90534,             0.95781,             0.52246,            0.025583,           0.0062893,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.030954,           0.0086149,                   0,             0.93429,             0.91973,             0.96372,             0.53404,             0.02469,           0.0062045,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.031231,           0.0085386,                   0,             0.93535,             0.91771,              0.9637,             0.53414,            0.024985,           0.0061984,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.031376,           0.0086171,                   0,             0.94582,             0.91811,             0.96268,             0.52542,            0.025252,           0.0062223,                   0,            0.003928,            0.003928,            0.003928
